id,prompt,function
281,How many doors have defined thermalinsulation properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
282,Find the number of doors with thermalinsulation properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
283,Get the number of doors with thermalinsulation properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
284,Count all doors with thermalinsulation properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
285,How many doors have seismicrating properties defined?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
286,Count the number of doors with seismicrating properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
287,What is the total number of doors with seismicrating properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
288,Find out how many doors have seismicrating properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
289,Get the total count of doors with seismicrating properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
290,How many doors are there with seismicrating properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
291,List the number of doors with seismicrating properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
292,Determine the number of doors with seismicrating properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
293,What is the count of doors with seismicrating properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
294,How many doors in the building have seismicrating properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
295,Calculate the number of doors with seismicrating properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
296,How many doors have defined seismicrating properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
297,Find the number of doors with seismicrating properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
298,Get the number of doors with seismicrating properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
299,Count all doors with seismicrating properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
300,How many windows have uvprotection properties defined?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'UVProtection')])"
301,Count the number of windows with uvprotection properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'UVProtection')])"
302,What is the total number of windows with uvprotection properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'UVProtection')])"
303,Find out how many windows have uvprotection properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'UVProtection')])"
304,Get the total count of windows with uvprotection properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'UVProtection')])"
305,How many windows are there with uvprotection properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'UVProtection')])"
306,List the number of windows with uvprotection properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'UVProtection')])"
307,Determine the number of windows with uvprotection properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'UVProtection')])"
308,What is the count of windows with uvprotection properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'UVProtection')])"
309,How many windows in the building have uvprotection properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'UVProtection')])"
310,Calculate the number of windows with uvprotection properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'UVProtection')])"
311,How many windows have defined uvprotection properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'UVProtection')])"
312,Find the number of windows with uvprotection properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'UVProtection')])"
313,Get the number of windows with uvprotection properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'UVProtection')])"
314,Count all windows with uvprotection properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'UVProtection')])"
315,How many windows have tinted properties defined?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Tinted')])"
316,Count the number of windows with tinted properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Tinted')])"
317,What is the total number of windows with tinted properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Tinted')])"
318,Find out how many windows have tinted properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Tinted')])"
319,Get the total count of windows with tinted properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Tinted')])"
320,How many windows are there with tinted properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Tinted')])"
321,List the number of windows with tinted properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Tinted')])"
322,Determine the number of windows with tinted properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Tinted')])"
323,What is the count of windows with tinted properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Tinted')])"
324,How many windows in the building have tinted properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Tinted')])"
325,Calculate the number of windows with tinted properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Tinted')])"
326,How many windows have defined tinted properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Tinted')])"
327,Find the number of windows with tinted properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Tinted')])"
328,Get the number of windows with tinted properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Tinted')])"
329,Count all windows with tinted properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Tinted')])"
330,How many windows have laminated properties defined?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Laminated')])"
331,Count the number of windows with laminated properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Laminated')])"
332,What is the total number of windows with laminated properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Laminated')])"
333,Find out how many windows have laminated properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Laminated')])"
334,Get the total count of windows with laminated properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Laminated')])"
335,How many windows are there with laminated properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Laminated')])"
336,List the number of windows with laminated properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Laminated')])"
337,Determine the number of windows with laminated properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Laminated')])"
338,What is the count of windows with laminated properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Laminated')])"
339,How many windows in the building have laminated properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Laminated')])"
340,Calculate the number of windows with laminated properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Laminated')])"
341,How many windows have defined laminated properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Laminated')])"
342,Find the number of windows with laminated properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Laminated')])"
343,Get the number of windows with laminated properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Laminated')])"
344,Count all windows with laminated properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Laminated')])"
345,How many windows have insulated properties defined?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Insulated')])"
346,Count the number of windows with insulated properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Insulated')])"
347,What is the total number of windows with insulated properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Insulated')])"
348,Find out how many windows have insulated properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Insulated')])"
349,Get the total count of windows with insulated properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Insulated')])"
350,How many windows are there with insulated properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Insulated')])"
351,List the number of windows with insulated properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Insulated')])"
352,Determine the number of windows with insulated properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Insulated')])"
353,What is the count of windows with insulated properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Insulated')])"
354,How many windows in the building have insulated properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Insulated')])"
355,Calculate the number of windows with insulated properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Insulated')])"
356,How many windows have defined insulated properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Insulated')])"
357,Find the number of windows with insulated properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Insulated')])"
358,Get the number of windows with insulated properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Insulated')])"
359,Count all windows with insulated properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'Insulated')])"
360,How many windows have doubleglazed properties defined?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'DoubleGlazed')])"
361,Count the number of windows with doubleglazed properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'DoubleGlazed')])"
362,What is the total number of windows with doubleglazed properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'DoubleGlazed')])"
363,Find out how many windows have doubleglazed properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'DoubleGlazed')])"
364,Get the total count of windows with doubleglazed properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'DoubleGlazed')])"
365,How many windows are there with doubleglazed properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'DoubleGlazed')])"
366,List the number of windows with doubleglazed properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'DoubleGlazed')])"
367,Determine the number of windows with doubleglazed properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'DoubleGlazed')])"
368,What is the count of windows with doubleglazed properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'DoubleGlazed')])"
369,How many windows in the building have doubleglazed properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'DoubleGlazed')])"
370,Calculate the number of windows with doubleglazed properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'DoubleGlazed')])"
371,How many windows have defined doubleglazed properties?,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'DoubleGlazed')])"
372,Find the number of windows with doubleglazed properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'DoubleGlazed')])"
373,Get the number of windows with doubleglazed properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'DoubleGlazed')])"
374,Count all windows with doubleglazed properties.,"len([window for window in ifc_obj.by_type('IfcWindow') if hasattr(window, 'DoubleGlazed')])"
536,Select all the windows.,ifc_obj.by_type('IfcWindow')
537,Get all windows from the model.,ifc_obj.by_type('IfcWindow')
538,Find all windows in the building.,ifc_obj.by_type('IfcWindow')
539,List all windows.,ifc_obj.by_type('IfcWindow')
540,Retrieve all windows from the file.,ifc_obj.by_type('IfcWindow')
541,Show all windows present in the building.,ifc_obj.by_type('IfcWindow')
542,Select all the doors.,ifc_obj.by_type('IfcDoor')
543,Get all doors from the model.,ifc_obj.by_type('IfcDoor')
544,Find all doors in the building.,ifc_obj.by_type('IfcDoor')
545,List all doors.,ifc_obj.by_type('IfcDoor')
546,Retrieve all doors from the file.,ifc_obj.by_type('IfcDoor')
547,Show all doors present in the building.,ifc_obj.by_type('IfcDoor')
548,Select all the columns.,ifc_obj.by_type('IfcColumn')
549,Get all columns from the model.,ifc_obj.by_type('IfcColumn')
550,Find all columns in the building.,ifc_obj.by_type('IfcColumn')
551,List all columns.,ifc_obj.by_type('IfcColumn')
552,Retrieve all columns from the file.,ifc_obj.by_type('IfcColumn')
553,Show all columns present in the building.,ifc_obj.by_type('IfcColumn')
554,Select all the beams.,ifc_obj.by_type('IfcBeam')
555,Get all beams from the model.,ifc_obj.by_type('IfcBeam')
556,Find all beams in the building.,ifc_obj.by_type('IfcBeam')
557,List all beams.,ifc_obj.by_type('IfcBeam')
558,Retrieve all beams from the file.,ifc_obj.by_type('IfcBeam')
559,Show all beams present in the building.,ifc_obj.by_type('IfcBeam')
560,Select all the walls.,ifc_obj.by_type('IfcWall')
561,Get all walls from the model.,ifc_obj.by_type('IfcWall')
562,Find all walls in the building.,ifc_obj.by_type('IfcWall')
563,List all walls.,ifc_obj.by_type('IfcWall')
564,Retrieve all walls from the file.,ifc_obj.by_type('IfcWall')
565,Show all walls present in the building.,ifc_obj.by_type('IfcWall')
566,Select all the spaces.,ifc_obj.by_type('IfcSpace')
567,Get all spaces from the model.,ifc_obj.by_type('IfcSpace')
568,Find all spaces in the building.,ifc_obj.by_type('IfcSpace')
569,List all spaces.,ifc_obj.by_type('IfcSpace')
570,Retrieve all spaces from the file.,ifc_obj.by_type('IfcSpace')
571,Show all spaces present in the building.,ifc_obj.by_type('IfcSpace')
620,Select all the windows.,ifc_obj.by_type('IfcWindow')
621,Get all the windows.,ifc_obj.by_type('IfcWindow')
622,Select the windows.,ifc_obj.by_type('IfcWindow')
623,Select windows.,ifc_obj.by_type('IfcWindow')
624,Give me all the windows.,ifc_obj.by_type('IfcWindow')
625,Give the windows.,ifc_obj.by_type('IfcWindow')
626,Take all the windows.,ifc_obj.by_type('IfcWindow')
627,Show me all the windows.,ifc_obj.by_type('IfcWindow')
608,Select all elements which have with fire rating.,"[element for element in ifc_obj.by_type('IfcElement') if hasattr(element, 'FireRating')]"
609,Get all elements with with fire rating.,"[element for element in ifc_obj.by_type('IfcElement') if hasattr(element, 'FireRating')]"
610,Find all elements that have with fire rating.,"[element for element in ifc_obj.by_type('IfcElement') if hasattr(element, 'FireRating')]"
611,List all elements with with fire rating.,"[element for element in ifc_obj.by_type('IfcElement') if hasattr(element, 'FireRating')]"
612,Retrieve all elements having with fire rating.,"[element for element in ifc_obj.by_type('IfcElement') if hasattr(element, 'FireRating')]"
613,Show all elements with with fire rating.,"[element for element in ifc_obj.by_type('IfcElement') if hasattr(element, 'FireRating')]"
614,Select all elements which have with thermal insulation.,"[element for element in ifc_obj.by_type('IfcElement') if hasattr(element, 'ThermalInsulation')]"
615,Get all elements with with thermal insulation.,"[element for element in ifc_obj.by_type('IfcElement') if hasattr(element, 'ThermalInsulation')]"
616,Find all elements that have with thermal insulation.,"[element for element in ifc_obj.by_type('IfcElement') if hasattr(element, 'ThermalInsulation')]"
617,List all elements with with thermal insulation.,"[element for element in ifc_obj.by_type('IfcElement') if hasattr(element, 'ThermalInsulation')]"
618,Retrieve all elements having with thermal insulation.,"[element for element in ifc_obj.by_type('IfcElement') if hasattr(element, 'ThermalInsulation')]"
619,Show all elements with with thermal insulation.,"[element for element in ifc_obj.by_type('IfcElement') if hasattr(element, 'ThermalInsulation')]"
636,How many doors have accesscontrol?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
637,Count the number of doors with accesscontrol.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
638,What is the total number of doors with accesscontrol?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
639,Find out how many doors have accesscontrol.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
640,Get the total count of doors with accesscontrol.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
641,How many doors are there with accesscontrol?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
642,List the number of doors with accesscontrol.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
643,Determine the number of doors with accesscontrol.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
644,What is the count of doors with accesscontrol?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
645,How many doors in the building have accesscontrol?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
646,Calculate the number of doors with accesscontrol.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
647,How many doors have defined accesscontrol?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
648,Find the number of doors with accesscontrol.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
649,Get the number of doors with accesscontrol.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
650,Count all doors with accesscontrol.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
651,How many doors have firerating?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
652,Count the number of doors with firerating.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
653,What is the total number of doors with firerating?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
654,Find out how many doors have firerating.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
655,Get the total count of doors with firerating.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
656,How many doors are there with firerating?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
657,List the number of doors with firerating.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
658,Determine the number of doors with firerating.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
659,What is the count of doors with firerating?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
660,How many doors in the building have firerating?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
661,Calculate the number of doors with firerating.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
662,How many doors have defined firerating?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
663,Find the number of doors with firerating.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
664,Get the number of doors with firerating.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
665,Count all doors with firerating.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
666,How many doors have acousticinsulation?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
667,Count the number of doors with acousticinsulation.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
668,What is the total number of doors with acousticinsulation?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
669,Find out how many doors have acousticinsulation.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
670,Get the total count of doors with acousticinsulation.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
671,How many doors are there with acousticinsulation?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
672,List the number of doors with acousticinsulation.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
673,Determine the number of doors with acousticinsulation.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
674,What is the count of doors with acousticinsulation?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
675,How many doors in the building have acousticinsulation?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
676,Calculate the number of doors with acousticinsulation.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
677,How many doors have defined acousticinsulation?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
678,Find the number of doors with acousticinsulation.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
679,Get the number of doors with acousticinsulation.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
680,Count all doors with acousticinsulation.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
681,How many doors have thermalinsulation?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
682,Count the number of doors with thermalinsulation.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
683,What is the total number of doors with thermalinsulation?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
684,Find out how many doors have thermalinsulation.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
685,Get the total count of doors with thermalinsulation.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
686,How many doors are there with thermalinsulation?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
687,List the number of doors with thermalinsulation.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
688,Determine the number of doors with thermalinsulation.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
689,What is the count of doors with thermalinsulation?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
690,How many doors in the building have thermalinsulation?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
691,Calculate the number of doors with thermalinsulation.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
692,How many doors have defined thermalinsulation?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
693,Find the number of doors with thermalinsulation.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
694,Get the number of doors with thermalinsulation.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
695,Count all doors with thermalinsulation.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
696,How many doors have seismicrating?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
697,Count the number of doors with seismicrating.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
698,What is the total number of doors with seismicrating?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
699,Find out how many doors have seismicrating.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
700,Get the total count of doors with seismicrating.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
701,How many doors are there with seismicrating?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
702,List the number of doors with seismicrating.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
703,Determine the number of doors with seismicrating.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
704,What is the count of doors with seismicrating?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
705,How many doors in the building have seismicrating?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
706,Calculate the number of doors with seismicrating.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
707,How many doors have defined seismicrating?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
708,Find the number of doors with seismicrating.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
709,Get the number of doors with seismicrating.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
710,Count all doors with seismicrating.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'SeismicRating')])"
786,What is the total surface area of all windows?,sum([calculate_element_area(window) for window in ifc_obj.by_type('IfcWindow')])
787,Calculate the total surface area of all windows.,sum([calculate_element_area(window) for window in ifc_obj.by_type('IfcWindow')])
788,Find out the total surface area of all windows.,sum([calculate_element_area(window) for window in ifc_obj.by_type('IfcWindow')])
789,Get the total surface area of all windows.,sum([calculate_element_area(window) for window in ifc_obj.by_type('IfcWindow')])
790,How much is the combined surface area of all windows?,sum([calculate_element_area(window) for window in ifc_obj.by_type('IfcWindow')])
791,What is the total surface area of all windows in the building?,sum([calculate_element_area(window) for window in ifc_obj.by_type('IfcWindow')])
792,Determine the total surface area of all windows.,sum([calculate_element_area(window) for window in ifc_obj.by_type('IfcWindow')])
793,How much surface area do all windows cover?,sum([calculate_element_area(window) for window in ifc_obj.by_type('IfcWindow')])
794,List the total surface area of all windows.,sum([calculate_element_area(window) for window in ifc_obj.by_type('IfcWindow')])
795,Sum up the total surface area of all windows.,sum([calculate_element_area(window) for window in ifc_obj.by_type('IfcWindow')])
796,What is the aggregate surface area of all windows?,sum([calculate_element_area(window) for window in ifc_obj.by_type('IfcWindow')])
797,Calculate the total surface area of all windows in the building.,sum([calculate_element_area(window) for window in ifc_obj.by_type('IfcWindow')])
798,Find the combined surface area of all windows.,sum([calculate_element_area(window) for window in ifc_obj.by_type('IfcWindow')])
799,What is the overall surface area of all windows?,sum([calculate_element_area(window) for window in ifc_obj.by_type('IfcWindow')])
800,Get the combined surface area of all windows.,sum([calculate_element_area(window) for window in ifc_obj.by_type('IfcWindow')])
801,What is the total surface area of all doors?,sum([calculate_element_area(door) for door in ifc_obj.by_type('IfcDoor')])
802,Calculate the total surface area of all doors.,sum([calculate_element_area(door) for door in ifc_obj.by_type('IfcDoor')])
803,Find out the total surface area of all doors.,sum([calculate_element_area(door) for door in ifc_obj.by_type('IfcDoor')])
804,Get the total surface area of all doors.,sum([calculate_element_area(door) for door in ifc_obj.by_type('IfcDoor')])
805,How much is the combined surface area of all doors?,sum([calculate_element_area(door) for door in ifc_obj.by_type('IfcDoor')])
806,What is the total surface area of all doors in the building?,sum([calculate_element_area(door) for door in ifc_obj.by_type('IfcDoor')])
807,Determine the total surface area of all doors.,sum([calculate_element_area(door) for door in ifc_obj.by_type('IfcDoor')])
808,How much surface area do all doors cover?,sum([calculate_element_area(door) for door in ifc_obj.by_type('IfcDoor')])
809,List the total surface area of all doors.,sum([calculate_element_area(door) for door in ifc_obj.by_type('IfcDoor')])
810,Sum up the total surface area of all doors.,sum([calculate_element_area(door) for door in ifc_obj.by_type('IfcDoor')])
811,What is the aggregate surface area of all doors?,sum([calculate_element_area(door) for door in ifc_obj.by_type('IfcDoor')])
